timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time
1548206500364,1190,9306,1823,4133,1558,2584,87865,22253,1,6,1548206499396.0,0.968,252.715
1548206501366,5376,1166,1871,4855,965,2508,30985,24648,1,6,1548206500364.0,1.002,253.717
1548206502370,1455,11224,2324,1431,1981,1245,114455,33169,1,6,1548206501366.0,1.004,254.721
1548206503352,6815,6858,7706,2822,5549,7266,32855,8655,1,6,1548206502370.0,0.982,255.703
1548206504395,2321,4753,2300,901,2252,1328,112611,10519,1,6,1548206503352.0,1.043,256.746
1548206505359,11094,29929,12172,19410,4478,8141,39111,37087,1,6,1548206504395.0,0.964,257.71
1548206506334,2841,313,6333,4112,985,1154,284666,12221,1,6,1548206505359.0,0.975,258.685
1548206507341,3884,5138,13542,4510,4844,5595,18727,5502,1,6,1548206506334.0,1.007,259.692
1548206508327,3282,8007,4181,3032,1585,3338,173258,29144,1,6,1548206507341.0,0.986,260.678
1548206509338,87,436,1135,678,402,735,55379,15571,1,6,1548206508327.0,1.011,261.689
1548206510341,4771,6976,3277,1944,878,1581,28215,41591,1,6,1548206509338.0,1.003,262.692
1548206511305,12730,6942,12292,9157,5561,8431,2060,10376,1,6,1548206510341.0,0.964,263.656
1548206512325,7449,9270,7353,7803,6726,5072,7977,17171,1,6,1548206511305.0,1.02,264.676
1548206513337,13979,3603,7045,5341,2922,9944,10272,7811,1,6,1548206512325.0,1.012,265.688
1548206514298,1603,4378,3894,2494,2839,3095,569914,61462,1,6,1548206513337.0,0.961,266.649
1548206515309,3965,2881,3831,8854,1749,2067,281404,28152,1,6,1548206514298.0,1.011,267.66
1548206516308,21172,8580,21360,21243,15802,18360,25764,21921,1,6,1548206515309.0,0.999,268.659
